date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,184,3.2,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,185,3.5,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,186,4.7,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,187,2.9,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,188,6.9,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,189,4.3,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,190,5.7,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,191,8.7,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,192,14.4,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,193,4.1,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,194,4.2,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,195,3.3,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,196,3.1,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,197,1.6,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,198,4.5,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,199,9.1,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,200,3.1,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,201,4.3,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,202,3.5,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,203,4,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,204,5.5,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,205,5.6,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,206,4.6,NA,NA,non-paralyzed,
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,207,3.5,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,208,3.2,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,209,2.8,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,210,6.4,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,211,3.6,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,212,5.7,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,213,8,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,214,5,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,215,5.6,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,216,13.1,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,217,5.9,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,218,6,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,219,3.5,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,220,9.2,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,221,13.8,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,222,5.2,NA,NA,non-paralyzed,
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,223,6.7,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,224,4.9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,225,0.9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,226,8.5,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,227,2.9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,228,2.9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,229,0.9,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,230,3.4,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,231,3.6,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,232,1.8,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,233,2,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,234,1.6,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,235,3.7,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,236,6.7,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,237,3.8,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,238,2.3,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,239,4.5,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,240,4.4,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,241,2.8,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,242,4.8,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,243,1.5,NA,NA,non-paralyzed,
2019_01_07,tyra-2,OP50,Tyrosine,oct_1.0,99,244,7.8,NA,NA,non-paralyzed,
